name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Stivers, Steve",steve-stivers/S001187,Steve Stivers,1965,Republican,current,"2,010"
"Representative Stockman, David A.",david-stockman/S000935,David A. Stockman,1946,Republican,not current,328
"Representative Stockman, Steve",steve-stockman/S000937,Steve Stockman,1956,Republican,not current,627
"Representative Stokes, Louis",louis-stokes/S000948,Louis Stokes,1925,Democratic,not current,"4,698"
"Senator Stone, Richard (Dick)",richard-stone/S000962,Richard (Dick) Stone,1928,Democratic,not current,539
"Representative Strang, Michael L.",michael-strang/S000991,Michael L. Strang,1929,Republican,not current,312
"Senator Strange, Luther",luther-strange/S001202,Luther Strange,1953,Republican,not current,113
"Representative Stratton, Samuel S.",samuel-stratton/S000997,Samuel S. Stratton,1916,Democratic,not current,"1,251"
"Representative Strickland, Ted",ted-strickland/S001004,Ted Strickland,1941,Democratic,not current,"1,645"
"Representative Stubblefield, Frank A.",frank-stubblefield/S001037,Frank A. Stubblefield,1907,Democratic,not current,80
"Representative Stuckey, W. S. (Bill), Jr.",w-stuckey/S001039,W. S. (Bill) Stuckey Jr.,1935,Democratic,not current,170
"Representative Studds, Gerry E.",gerry-studds/S001040,Gerry E. Studds,1937,Democratic,not current,"3,663"
"Representative Stump, Bob",bob-stump/S001044,Bob Stump,1927,History,not current,"3,596"
"Representative Stupak, Bart",bart-stupak/S001045,Bart Stupak,1952,Democratic,not current,"2,954"
"Representative Stutzman, Marlin A.",marlin-stutzman/S001188,Marlin A. Stutzman,1976,Republican,not current,513
"Senator Sullivan, Dan ",dan-sullivan/S001198,Dan Sullivan,1964,Republican,current,"1,024"
"Representative Sullivan, John",john-sullivan/S001155,John Sullivan,1965,Republican,not current,"1,035"
"Representative Sullivan, Leonor K. (Mrs. John B.)",leonor-sullivan/S001057,Leonor K. (Mrs. John B.) Sullivan,1902,Democratic,not current,329
"Representative Sundquist, Don",donald-sundquist/S001075,Don Sundquist,1936,Republican,not current,"1,609"
"Representative Sunia, Foto I. F.",foto-sunia/S001077,Foto I. F. Sunia,1937,Democratic,not current,"1,772"
"Senator Sununu, John E.",john-sununu/S001078,John E. Sununu,1964,Republican,not current,"1,140"
"Representative Suozzi, Thomas R.",thomas-suozzi/S001201,Thomas R. Suozzi,1962,Democratic,current,"1,195"
"Representative Sutton, Betty",betty-sutton/S001174,Betty Sutton,1963,Democratic,not current,"1,609"
"Representative Swalwell, Eric",eric-swalwell/S001193,Eric Swalwell,1980,Democratic,current,"2,014"
"Representative Sweeney, David McCann",david-sweeney/S001101,David McCann Sweeney,1955,Republican,not current,262
"Representative Sweeney, John E.",john-sweeney/S001149,John E. Sweeney,1955,Republican,not current,"1,003"
"Representative Swett, Dick",dick-swett/S001113,Dick Swett,1957,Democratic,not current,687
"Representative Swift, Al",allen-swift/S001115,Al Swift,1935,Democratic,not current,"1,723"
"Representative Swindall, Patrick L.",patrick-swindall/S001122,Patrick L. Swindall,1950,Republican,not current,736
"Representative Symington, James W.",james-symington/S001134,James W. Symington,1927,Democratic,not current,509
"Senator Symington, Stuart",william-symington/S001136,Stuart Symington,1901,Democratic,not current,150
"Senator Symms, Steven D.",steven-symms/S001138,Steven D. Symms,1938,Republican,not current,"3,318"
"Representative Synar, Mike",michael-synar/S001139,Mike Synar,1950,Democratic,not current,"1,960"
"Senator Taft, Robert, Jr.",robert-taft/T000010,Robert Taft Jr.,1917,Republican,not current,401
"Representative Takai, Mark",mark-takai/T000473,Mark Takai,1967,Democratic,not current,314
"Representative Takano, Mark",mark-takano/T000472,Mark Takano,1960,Democratic,current,"2,498"
"Representative Talcott, Burt L.",burt-talcott/T000022,Burt L. Talcott,1920,Republican,not current,327
"Senator Talent, Jim",jim-talent/T000024,Jim Talent,1956,Republican,not current,"1,586"
"Representative Tallon, Robert M. (Robin)",robert-tallon/T000034,Robert M. (Robin) Tallon,1946,Democratic,not current,"2,236"
"Senator Talmadge, Herman E.",herman-talmadge/T000035,Herman E. Talmadge,1913,Democratic,not current,509
"Representative Tancredo, Thomas G.",thomas-tancredo/T000458,Thomas G. Tancredo,1945,Republican,not current,"1,673"
"Representative Tanner, John S.",john-tanner/T000038,John S. Tanner,1944,Democratic,not current,"1,747"
"Representative Tate, Randy",randy-tate/T000048,Randy Tate,1965,Republican,not current,146
"Representative Tauke, Thomas Joseph",thomas-tauke/T000053,Thomas Joseph Tauke,1950,Republican,not current,"2,254"
"Representative Tauscher, Ellen O.",ellen-tauscher/T000057,Ellen O. Tauscher,1951,Democratic,not current,"2,248"
"Representative Tauzin, W. J. (Billy)",w-tauzin/T000058,W. J. (Billy) Tauzin,1943,History,not current,"2,742"
"Representative Taylor, Charles H.",charles-taylor/T000067,Charles H. Taylor,1941,Republican,not current,"1,345"
"Representative Taylor, G.",gene-taylor/T000075,G. Taylor,1928,Republican,not current,806
"Representative Taylor, Gene",gene-taylor/T000074,Gene Taylor,1953,Democratic,not current,"1,949"
"Representative Taylor, Roy A.",roy-taylor/T000099,Roy A. Taylor,1910,Democratic,not current,212
"Representative Taylor, Scott",scott-taylor/T000477,Scott Taylor,1979,Republican,not current,137
"Representative Taylor, Van",van-taylor/T000479,Van Taylor,1972,Republican,current,328
"Representative Teague, Charles M.",charles-teague/T000109,Charles M. Teague,1909,Republican,not current,62
"Representative Teague, Harry",harry-teague/T000466,Harry Teague,1949,Democratic,not current,305
"Representative Teague, Olin E.",olin-teague/T000110,Olin E. Teague,1910,Democratic,not current,557
"Representative Tejeda, Frank",frank-tejeda/T000113,Frank Tejeda,1945,Democratic,not current,261
"Representative Tenney, Claudia",claudia-tenney/T000478,Claudia Tenney,1961,Republican,not current,299
"Representative Terry, Lee",lee-terry/T000459,Lee Terry,1962,Republican,not current,"2,824"
"Senator Tester, Jon",jon-tester/T000464,Jon Tester,1956,Democratic,current,"3,072"
"Senator Thomas, Craig",craig-thomas/T000162,Craig Thomas,1933,Republican,not current,"2,113"
"Representative Thomas, Lindsay",lindsay-thomas/T000184,Lindsay Thomas,1943,Democratic,not current,"1,424"
"Representative Thomas, William M.",william-thomas/T000188,William M. Thomas,1941,Republican,not current,"1,987"
"Representative Thompson, Bennie G.",bennie-thompson/T000193,Bennie G. Thompson,1948,Democratic,current,"4,581"
"Representative Thompson, Frank, Jr.",frank-thompson/T000200,Frank Thompson Jr.,1918,Democratic,not current,"1,074"
"Senator Thompson, Fred",fred-thompson/T000457,Fred Thompson,1942,Republican,not current,519
"Representative Thompson, Glenn",glenn-thompson/T000467,Glenn Thompson,1959,Republican,current,"1,682"
"Representative Thompson, Mike",mike-thompson/T000460,Mike Thompson,1951,Democratic,current,"3,525"
"Representative Thomson, Vernon W.",vernon-thomson/T000233,Vernon W. Thomson,1905,Republican,not current,102
"Representative Thone, Charles",charles-thone/T000234,Charles Thone,1924,Republican,not current,740
"Representative Thornberry, Mac",william-thornberry/T000238,Mac Thornberry,1958,Republican,current,"1,784"
"Representative Thornton, Ray",ray-thornton/T000243,Ray Thornton,1928,Democratic,not current,384
"Senator Thune, John",john-thune/T000250,John Thune,1961,Republican,current,"2,948"
"Representative Thurman, Karen L.",karen-thurman/T000253,Karen L. Thurman,1951,Democratic,not current,"2,167"
"Senator Thurmond, Strom",james-thurmond/T000254,Strom Thurmond,1902,History,not current,"6,022"
"Representative Tiahrt, Todd",todd-tiahrt/T000260,Todd Tiahrt,1951,Republican,not current,"1,740"
"Representative Tiberi, Patrick J.",patrick-tiberi/T000462,Patrick J. Tiberi,1962,Republican,not current,"2,020"
"Representative Tiernan, Robert O.",robert-tiernan/T000265,Robert O. Tiernan,1929,Democratic,not current,428
"Representative Tierney, John F.",john-tierney/T000266,John F. Tierney,1951,Democratic,not current,"2,924"
"Senator Tillis, Thom",thomas-tillis/T000476,Thom Tillis,1960,Republican,current,"1,171"
"Representative Timmons, William R. IV",william-timmons/T000480,William R. Timmons IV,1984,Republican,current,170
"Representative Tipton, Scott  R.",scott-tipton/T000470,Scott R. Tipton,1956,Republican,current,"1,362"
"Representative Titus, Dina",dina-titus/T000468,Dina Titus,1950,Democratic,current,"2,076"
"Representative Tlaib, Rashida",rashida-tlaib/T000481,Rashida Tlaib,1976,Democratic,current,690
"Representative Tonko, Paul",paul-tonko/T000469,Paul Tonko,1949,Democratic,current,"2,905"
"Representative Tonry, Richard A.",richard-tonry/T000310,Richard A. Tonry,1935,Democratic,not current,76
"Senator Toomey, Pat",pat-toomey/T000461,Pat Toomey,1961,Republican,current,"1,815"
"Representative Torkildsen, Peter G.",peter-torkildsen/T000314,Peter G. Torkildsen,1958,Republican,not current,621
"Representative Torres Small, Xochitl",xochitl-torres-small/T000484,Xochitl Torres Small,1984,Democratic,current,311
"Representative Torres, Estaban Edward",estaban-torres/T000316,Estaban Edward Torres,1930,Democratic,not current,"2,743"
"Representative Torres, Norma J.",norma-torres/T000474,Norma J. Torres,1965,Democratic,current,"1,030"
"Senator Torricelli, Robert G.",robert-torricelli/T000317,Robert G. Torricelli,1951,Democratic,not current,"4,294"
"Representative Towell, David",david-towell/T000321,David Towell,1937,Republican,not current,114
"Senator Tower, John G.",john-tower/T000322,John G. Tower,1925,Republican,not current,"1,349"
"Representative Towns, Edolphus",edolphus-towns/T000326,Edolphus Towns,1934,Democratic,not current,10
"Representative Traficant, James A., Jr.",james-traficant/T000350,James A. Traficant Jr.,1941,Democratic,not current,"4,055"
"Representative Trahan, Lori",lori-trahan/T000482,Lori Trahan,1973,Democratic,current,455
"Representative Traxler, Bob",bob-traxler/T000356,Bob Traxler,1931,Democratic,not current,"2,776"
"Representative Treen, David C.",david-treen/T000362,David C. Treen,1928,Republican,not current,710
"Senator Trible, Paul S., Jr.",paul-trible/T000367,Paul S. Trible Jr.,1946,Republican,not current,"1,356"
"Representative Trone, David J.",david-trone/T000483,David J. Trone,1955,Democratic,current,878
"Representative Trott, David A.",david-trott/T000475,David A. Trott,1960,Republican,not current,356
"Representative Tsongas, Niki",niki-tsongas/T000465,Niki Tsongas,1946,Democratic,not current,"1,768"
"Senator Tsongas, Paul E.",paul-tsongas/T000393,Paul E. Tsongas,1941,Democratic,not current,"1,424"
"Representative Tucker, James G., Jr. (Jim Guy)",jim-tucker/T000400,James G. Tucker Jr. (Jim Guy),1943,Democratic,not current,114
"Representative Tucker, Walter R., III",walter-tucker/T000405,Walter R. Tucker III,1957,Democratic,not current,331
"Senator Tunney, John V.",john-tunney/T000410,John V. Tunney,1934,Democratic,not current,679
"Representative Turner, Jim",jim-turner/T000424,Jim Turner,1946,Democratic,not current,891
"Representative Turner, Michael R.",michael-turner/T000463,Michael R. Turner,1960,Republican,current,"1,800"
"Representative Turner, Robert L.",robert-turner/T000471,Robert L. Turner,1941,Republican,not current,148
"Senator Udall, Mark",mark-udall/U000038,Mark Udall,1950,Democratic,not current,"3,087"
"Representative Udall, Morris K.",morris-udall/U000001,Morris K. Udall,1922,Democratic,not current,"2,772"
"Senator Udall, Tom",tom-udall/U000039,Tom Udall,1948,Democratic,current,"3,939"
"Representative Ullman, Al",albert-ullman/U000004,Al Ullman,1914,Democratic,not current,423
"Representative Underwood, Lauren",lauren-underwood/U000040,Lauren Underwood,1986,Democratic,current,380
"Representative Underwood, Robert A.",robert-underwood/U000014,Robert A. Underwood,1948,Democratic,not current,"1,483"
"Representative Unsoeld, Jolene",jolene-unsoeld/U000017,Jolene Unsoeld,1931,Democratic,not current,"1,655"
"Representative Upton, Fred",fred-upton/U000031,Fred Upton,1953,Republican,current,"4,384"
"Representative Valadao, David G.",david-valadao/V000129,David G. Valadao,1977,Republican,not current,742
"Representative Valentine, Tim",tim-valentine/V000006,Tim Valentine,1926,Democratic,not current,"2,096"
"Representative Van Deerlin, Lionel",lionel-van-deerlin/V000024,Lionel Van Deerlin,1914,Democratic,not current,524
"Representative Van Drew, Jefferson",jefferson-van-drew/V000133,Jefferson Van Drew,1953,History,current,603
"Senator Van Hollen, Chris",chris-van-hollen/V000128,Chris Van Hollen,1959,Democratic,current,"5,026"
"Representative Vander Jagt, Guy",guy-van-der-jagt/V000027,Guy Vander Jagt,1931,Republican,not current,"2,526"
"Representative Vander Veen, Richard F.",richard-vander-veen/V000029,Richard F. Vander Veen,1922,Democratic,not current,271
"Representative Vandergriff, Tommy J.",tommy-vandergriff/V000026,Tommy J. Vandergriff,1926,Democratic,not current,470
"Representative Vanik, Charles A.",charles-vanik/V000047,Charles A. Vanik,1913,Democratic,not current,408
"Representative Vargas, Juan",juan-vargas/V000130,Juan Vargas,1961,Democratic,current,"1,745"
"Representative Veasey, Marc A.",marc-veasey/V000131,Marc A. Veasey,1971,Democratic,current,"1,512"
"Representative Vela, Filemon",filemon-vela/V000132,Filemon Vela,1963,Democratic,current,"1,125"
"Representative Velazquez, Nydia M.",nydia-velazquez/V000081,Nydia M. Velazquez,1953,Democratic,current,"4,413"
"Representative Vento, Bruce F.",bruce-vento/V000087,Bruce F. Vento,1940,Democratic,not current,"5,600"
"Representative Veysey, Victor V.",victor-veysey/V000093,Victor V. Veysey,1915,Republican,not current,216
"Representative Vigorito, Joseph P.",joseph-vigorito/V000098,Joseph P. Vigorito,1918,Democratic,not current,297
"Representative Visclosky, Peter J.",peter-visclosky/V000108,Peter J. Visclosky,1949,Democratic,current,"2,521"
"Senator Vitter, David",david-vitter/V000127,David Vitter,1961,Republican,not current,"3,632"
"Senator Voinovich, George V.",george-voinovich/V000126,George V. Voinovich,1936,Republican,not current,"1,760"
"Representative Volkmer, Harold L.",harold-volkmer/V000112,Harold L. Volkmer,1931,Democratic,not current,"2,177"
"Representative Vucanovich, Barbara F.",barbara-vucanovich/V000124,Barbara F. Vucanovich,1921,Republican,not current,"2,280"
"Representative Waggonner, Joe D., Jr.",joe-waggonner/W000018,Joe D. Waggonner Jr.,1918,Democratic,not current,443
"Representative Wagner, Ann",ann-wagner/W000812,Ann Wagner,1962,Republican,current,"1,095"
"Representative Walberg, Tim",tim-walberg/W000798,Tim Walberg,1951,Republican,current,"1,730"
"Representative Walden, Greg",greg-walden/W000791,Greg Walden,1957,Republican,current,"1,994"
"Representative Waldholtz, Enid Greene",enid-waldholtz/G000408,Enid Greene Waldholtz,1958,Republican,not current,176
"Representative Waldie, Jerome R.",jerome-waldie/W000035,Jerome R. Waldie,1925,Democratic,not current,420
"Representative Waldon, Alton R., Jr.",alton-waldon/W000038,Alton R. Waldon Jr.,1936,Democratic,not current,63
"Representative Walgren, Doug",doug-walgren/W000044,Doug Walgren,1940,Democratic,not current,"2,709"
"Representative Walker, Mark",mark-walker/W000819,Mark Walker,1969,Republican,current,538
"Representative Walker, Robert S.",robert-walker/W000068,Robert S. Walker,1942,Republican,not current,"2,107"
"Senator Wallop, Malcolm",malcolm-wallop/W000092,Malcolm Wallop,1933,Republican,not current,"2,000"
"Representative Walorski, Jackie",jackie-walorski/W000813,Jackie Walorski,1963,Republican,current,"1,082"
"Representative Walsh, James T.",james-walsh/W000099,James T. Walsh,1947,Republican,not current,"3,735"
"Representative Walsh, Joe",joe-walsh/W000811,Joe Walsh,1961,Republican,not current,276
"Senator Walsh, John E.",john-walsh/W000818,John E. Walsh,1960,Democratic,not current,174
"Representative Walsh, William F.",william-walsh/W000107,William F. Walsh,1912,Republican,not current,668
